id,order,score2,weight,color,label,raw_probability,score,probability
1,1.1,59,0.5,#9E0041,A FAST ONE,0.07,54.14847162,6.768558952
2,1.3,24,0.5,#C32F4B,EXPONENTS,0.08,66.37554585,8.296943231
3,2,98,1,#E1514B,SUPER EURO STAR,0.12,94.3231441,11.79039301
4,3,60,1,#F47245,BRIGHT STAR,0.11,85.58951965,10.69868996
5,4,74,1,#FB9F59,FURIOUS PEGASUS,0.11,85.58951965,10.69868996
6,5,70,1,#FEC574,DYNAMIC VOYAGE,0.12,94.3231441,11.79039301
8,6,42,0.5,#FAE38C,BONHEUR,0.04,31.44104803,3.930131004
9,7.1,77,0.5,#EAF195,GOLDEN CANNON,0.1,83.84279476,10.48034934
10,7.3,88,0.5,#C7E89E,FREE NOVEMBER,0.04,33.18777293,4.148471616
11,8.1,60,0.5,#9CD6A4,FRIENDS FOREVER,0.08,61.13537118,7.641921397
12,8.3,65,0.5,#6CC4A4,NOBLE BUDDIES,0.05,38.4279476,4.80349345
13,9,71,0.5,#4D9DB4,MANHATTAN STRIKER,0.06,45.41484716,5.676855895
14,10.1,88,0.5,#4776B4,FAST ROCKET,0.03,26.20087336,3.27510917