date,J Moreira,D Whyte,U Rispoli,M F Poon,K Teetan,C Schofield,Z Purton,K C Leung,C Y Ho,H N Wong,H T Mo,M L Yeung,K C Ng,N Callan,O Doleuze,S Clipperton,B Prebble
20160901,0.23112563,0.076069948,0,0,0.044217607,0.070890954,0.173428135,0.078266338,0.051252149,0.079680479,0,0.055298359,0.009753716,0.066761141,0.044418147,0.052064764,0.030270977
20161001,0.238675805,0.093369513,0,0,0.036981818,0.075589191,0.152810045,0.074081654,0.053306277,0.062165828,0,0.046006795,0.019482475,0.069003249,0.03848463,0.076397951,0.067838142
20161101,0.240038968,0.096013227,0,0,0.04432096,0.073862881,0.133870343,0,0.042950249,0.055735459,0,0,0,0.073190732,0.026860137,0.070836152,0.089311064
20161201,0.227915246,0.088218423,0,0,0.049458907,0.072687528,0.132641709,0.055247119,0.036747201,0,0,0.041330915,0.03797962,0.081092824,0.031378717,0.074233218,0.111847765
20170101,0.222793015,0.069757735,0,0,0.056277896,0.063518788,0.167938398,0.051042788,0.023072367,0,0.017747355,0.03311902,0.00137931,0.088473294,0.042234791,0.078288746,0.106935424
20170201,0.2355466,0.084597187,0,0,0.052968705,0.064048273,0.174301781,0.045672102,0.024634866,0,0.017461703,0.035693214,0,0.102730718,0.04551269,0.097096355,0.08190997
20170301,0.271712666,0.099752266,0.005403655,0.05,0.062390556,0.064321992,0.163376255,0.058560123,0.036616897,0.035650022,0.032972084,0.034275195,0,0.091462998,0.063689826,0.109420634,0.057311948
20170401,0.298884729,0.085767002,0.021827703,0.208096054,0.076450026,0.048920091,0.13127244,0.070219258,0.063449601,0.02279036,0.064444329,0.025274436,0.006333448,0.073999633,0.09190649,0.099486169,0.037892851
20170501,0.285428063,0.081598522,0.043723952,0.166809825,0.069255665,0.046876488,0.167582967,0.070841711,0.06383844,0.032856868,0.091254877,0.019089158,0.010689731,0.073570377,0.112180592,0.080681058,0.040593725
20170601,0.237615317,0.091348544,0.086278133,0.175750268,0.073263082,0.073857445,0.200803409,0.051463123,0.044176106,0.035730705,0.112448772,0.024671886,0.014867937,0.083391447,0.099557069,0.079189539,0.060618881