Number,Win 2y,Place 2y,Win 1y,Place 1y,Win 3m,Place 3m,Dist W 2y,Dist P 2y,Dist W 1y,Dist P 1y,Dist W 3m,Dist W 3m
1,0.083333333,0.333333333,0.166666667,0.166666667,0,0,0.083333333,0.333333333,0.166666667,0.166666667,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0.090909091,0,0.090909091,0,0,0,0,0,0,0,0
4,0,0.055555556,0,0,0,0,0,0.055555556,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0.111111111,0,0.142857143,0,0,0,0.111111111,0,0.142857143,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0.133333333,0,0.285714286,0,0,0,0.153846154,0,0.333333333,0,0
10,0,0.047619048,0,0,0,0,0,0.047619048,0,0,0,0
11,0.043478261,0.130434783,0,0.166666667,0,0,0.055555556,0.166666667,0,0.222222222,0,0
12,0,0.068965517,0,0.066666667,0,0,0,0.068965517,0,0.066666667,0,0
13,0,0.181818182,0,0.266666667,0,0,0,0.2,0,0.307692308,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0